Imagen,Cluster,IoU,Ruta de salida
00581_0,5,0.1889,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00581_0_cluster5_iou0.19.png
00115_0,9,0.2538,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00115_0_cluster9_iou0.25.png
00031_4,1,0.0146,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00031_4_cluster1_iou0.01.png
00368_1,2,0.1953,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00368_1_cluster2_iou0.20.png
00458_4,6,0.1655,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00458_4_cluster6_iou0.17.png
00539_0,5,0.3157,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00539_0_cluster5_iou0.32.png
00395_1,0,0.2201,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00395_1_cluster0_iou0.22.png
00150_0,2,0.446,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00150_0_cluster2_iou0.45.png
00277_3,2,0.2618,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00277_3_cluster2_iou0.26.png
00094_1,0,0.246,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00094_1_cluster0_iou0.25.png
00375_4,6,0.1747,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00375_4_cluster6_iou0.17.png
00330_4,6,0.3859,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00330_4_cluster6_iou0.39.png
00069_1,9,0.1462,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00069_1_cluster9_iou0.15.png
00251_0,9,0.2195,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00251_0_cluster9_iou0.22.png
00504_0,5,0.0452,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00504_0_cluster5_iou0.05.png
00541_0,5,0.275,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00541_0_cluster5_iou0.28.png
00420_4,1,0.3978,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00420_4_cluster1_iou0.40.png
00214_0,7,0.3384,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00214_0_cluster7_iou0.34.png
00089_4,3,0.1986,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00089_4_cluster3_iou0.20.png
